code,module,category,text_ru,text_kz,text_en,type,is_reverse,options
SJT_001,SJT,self_organization,"У вас несколько задач с одинаковым дедлайном. Что вы сделаете?","Бірдей мерзімі бар бірнеше тапсырмаңыз бар. Не істейсіз?","You have several tasks with the same deadline. What will you do?",choice,FALSE,"[{""text"": ""Составлю план и распределю время (Make a plan)"", ""value"": 2}, {""text"": ""Начну с самой простой (Start with easiest)"", ""value"": 1}, {""text"": ""Возьмусь за самую срочную на глаз (Do urgent by eye)"", ""value"": 0}, {""text"": ""Буду делать по мере сил (Do what I can)"", ""value"": 0}]"
SJT_002,SJT,self_organization,"Вы понимаете, что не успеваете в срок. Ваши действия?","Мерзімге үлгермейтініңізді түсінесіз. Сіздің әрекетіңіз?","You realize you won't make it on time. Your actions?",choice,FALSE,"[{""text"": ""Сообщу заранее (Inform in advance)"", ""value"": 2}, {""text"": ""Попробую всё сделать в последний момент (Try last minute)"", ""value"": 1}, {""text"": ""Сдам как есть (Submit as is)"", ""value"": 0}, {""text"": ""Отложу часть задач (Postpone part)"", ""value"": 1}]"
SJT_003,SJT,self_organization,"Задача оказалась сложнее, чем вы ожидали.","Тапсырма күткеннен қиынырақ болып шықты.","The task turned out to be harder than expected.",choice,FALSE,"[{""text"": ""Перепланирую этапы (Replan steps)"", ""value"": 2}, {""text"": ""Продолжу как есть (Continue as is)"", ""value"": 0}, {""text"": ""Отложу до лучшего момента (Postpone)"", ""value"": 0}, {""text"": ""Откажусь от части требований (Drop requirements)"", ""value"": 1}]"
SJT_004,SJT,self_organization,"Вам дали задачу без чёткого плана.","Сізге нақты жоспарсыз тапсырма берілді.","You were given a task without a clear plan.",choice,FALSE,"[{""text"": ""Сам уточню цель и шаги (Clarify goal myself)"", ""value"": 2}, {""text"": ""Подожду инструкций (Wait for instructions)"", ""value"": 0}, {""text"": ""Буду делать наугад (Do randomly)"", ""value"": 0}, {""text"": ""Спрошу, что именно нужно (Ask what is needed)"", ""value"": 1}]"
SJT_005,SJT,self_organization,"Срок близко, а мотивации мало.","Мерзім жақын, бірақ мотивация аз.","Deadline is close, but motivation is low.",choice,FALSE,"[{""text"": ""Начну с малого (Start small)"", ""value"": 2}, {""text"": ""Подожду вдохновения (Wait for inspiration)"", ""value"": 0}, {""text"": ""Сделаю минимум (Do minimum)"", ""value"": 1}, {""text"": ""Отложу (Postpone)"", ""value"": 0}]"
SJT_006,SJT,self_organization,"Вы заметили, что часто не укладываетесь во время.","Сіз уақытқа жиі үлгермейтініңізді байқадыңыз.","You noticed you often miss timings.",choice,FALSE,"[{""text"": ""Проанализирую причины (Analyze reasons)"", ""value"": 2}, {""text"": ""Буду работать быстрее (Work faster)"", ""value"": 1}, {""text"": ""Смирюсь (Accept it)"", ""value"": 0}, {""text"": ""Ничего не меняю (Change nothing)"", ""value"": 0}]"
SJT_007,SJT,self_organization,"Несколько задач конкурируют за внимание.","Бірнеше тапсырма назар аударуды талап етеді.","Several tasks compete for attention.",choice,FALSE,"[{""text"": ""Расставлю приоритеты (Prioritize)"", ""value"": 2}, {""text"": ""Возьмусь за первую попавшуюся (Take first one)"", ""value"": 0}, {""text"": ""Буду переключаться (Switch between)"", ""value"": 1}, {""text"": ""Отложу часть (Postpone part)"", ""value"": 1}]"
SJT_008,SJT,self_organization,"Вас отвлекают во время работы.","Жұмыс кезінде сіздің көңіліңізді бөледі.","You are distracted during work.",choice,FALSE,"[{""text"": ""Выделю время без отвлечений (Block time)"", ""value"": 2}, {""text"": ""Буду отвечать сразу (Reply immediately)"", ""value"": 0}, {""text"": ""Потеряю фокус (Lose focus)"", ""value"": 0}, {""text"": ""Перенесу задачу (Reschedule)"", ""value"": 1}]"
SJT_009,SJT,self_organization,"Вы забыли о договорённости.","Сіз келісім туралы ұмытып кеттіңіз.","You forgot about an agreement.",choice,FALSE,"[{""text"": ""Признаю и исправлю (Admit and fix)"", ""value"": 2}, {""text"": ""Сделаю вид, что так и было (Pretend)"", ""value"": 0}, {""text"": ""Переложу ответственность (Shift blame)"", ""value"": 0}, {""text"": ""Проигнорирую (Ignore)"", ""value"": 0}]"
SJT_010,SJT,self_organization,"Появилась срочная новая задача.","Шұғыл жаңа тапсырма пайда болды.","A new urgent task appeared.",choice,FALSE,"[{""text"": ""Перепланирую день (Replan day)"", ""value"": 2}, {""text"": ""Добавлю её поверх остальных (Add on top)"", ""value"": 1}, {""text"": ""Отложу старые (Drop old ones)"", ""value"": 1}, {""text"": ""Растеряюсь (Get lost)"", ""value"": 0}]"
