code,module,category,text_ru,text_kz,text_en,type,is_reverse,options
O_001,BIG5,Openness,"Мне интересно узнавать новые идеи","Маған жаңа идеяларды білу қызықты","I am interested in learning new ideas",scale,FALSE,
O_002,BIG5,Openness,"Я люблю пробовать что-то новое","Мен жаңа нәрселерді байқап көргенді ұнатамын","I like trying new things",scale,FALSE,
O_003,BIG5,Openness,"Мне нравится размышлять абстрактно","Мен абстрактілі ойлағанды ұнатамын","I enjoy abstract thinking",scale,FALSE,
O_004,BIG5,Openness,"Я открыт к необычным взглядам","Мен ерекше көзқарастарға ашықпын","I am open to unusual views",scale,FALSE,
O_005,BIG5,Openness,"Мне интересно исследовать разные темы","Әртүрлі тақырыптарды зерттеу маған қызық","I like exploring different topics",scale,FALSE,
O_006,BIG5,Openness,"Я люблю креативные задачи","Мен шығармашылық тапсырмаларды ұнатамын","I like creative tasks",scale,FALSE,
O_007,BIG5,Openness,"Мне нравится фантазировать","Қиялдағанды ұнатамын","I enjoy imagining",scale,FALSE,
O_008,BIG5,Openness,"Я легко принимаю новые подходы","Жаңа тәсілдерді оңай қабылдаймын","I easily accept new approaches",scale,FALSE,
O_009,BIG5,Openness,"Мне интересно искусство и культура","Өнер мен мәдениет маған қызық","I am interested in art and culture",scale,FALSE,
O_010,BIG5,Openness,"Я люблю нестандартные решения","Стандарттан тыс шешімдерді ұнатамын","I like unconventional solutions",scale,FALSE,
O_011,BIG5,Openness,"Мне нравится узнавать о других культурах","Басқа мәдениеттер туралы білуді ұнатамын","I like learning about other cultures",scale,FALSE,
O_012,BIG5,Openness,"Я часто задаю вопросы «почему»","Мен жиі «неге» деп сұраймын","I often ask why",scale,FALSE,
O_013,BIG5,Openness,"Мне интересно обсуждать сложные идеи","Күрделі идеяларды талқылау маған қызық","I enjoy discussing complex ideas",scale,FALSE,
O_014,BIG5,Openness,"Я люблю читать познавательные материалы","Танымдық материалдарды оқуды ұнатамын","I like reading informative materials",scale,FALSE,
O_015,BIG5,Openness,"Мне нравится искать новые способы решения задач","Мәселелерді шешудің жаңа жолдарын іздегенді ұнатамын","I like finding new ways to solve problems",scale,FALSE,
O_016,BIG5,Openness,"Я легко адаптируюсь к новым ситуациям","Жаңа жағдайларға тез бейімделемін","I adapt easily to new situations",scale,FALSE,
O_017,BIG5,Openness,"Мне интересно экспериментировать","Тәжірибе жасауды ұнатамын","I like experimenting",scale,FALSE,
O_018,BIG5,Openness,"Я ценю оригинальность","Мен түпнұсқалықты бағалаймын","I value originality",scale,FALSE,
O_019,BIG5,Openness,"Мне нравится изучать незнакомые темы","Бейтаныс тақырыптарды зерттеуді ұнатамын","I like studying unfamiliar topics",scale,FALSE,
O_020,BIG5,Openness,"Я люблю размышлять о будущем","Болашақ туралы ойлануды ұнатамын","I like thinking about the future",scale,FALSE,
O_021,BIG5,Openness,"Мне нравится генерировать идеи","Идеялар ойлап табуды ұнатамын","I like generating ideas",scale,FALSE,
O_022,BIG5,Openness,"Я люблю интеллектуальные вызовы","Интеллектуалды сын-тегеуріндерді ұнатамын","I like intellectual challenges",scale,FALSE,
O_023,BIG5,Openness,"Мне интересно искать новые подходы","Жаңа тәсілдер іздеу маған қызық","I like seeking new approaches",scale,FALSE,
O_024,BIG5,Openness,"Я получаю удовольствие от обучения","Оқудан ләззат аламын","I enjoy learning",scale,FALSE,
O_025,BIG5,Openness,"Мне нравится менять привычные способы действий","Әдеттегі тәсілдерді өзгерткенді ұнатамын","I like changing usual ways of doing things",scale,FALSE,
O_026,BIG5,Openness,"Я открыт экспериментам","Тәжірибелерге ашықпын","I am open to experiments",scale,FALSE,
O_027,BIG5,Openness,"Мне интересно разбираться в теориях","Теорияларды түсіну маған қызық","I like understanding theories",scale,FALSE,
O_028,BIG5,Openness,"Я люблю творчески выражать себя","Өзімді шығармашылықпен көрсетуді ұнатамын","I like expressing myself creatively",scale,FALSE,
O_029,BIG5,Openness,"Мне нравится рассматривать альтернативы","Балама нұсқаларды қарастыруды ұнатамын","I like considering alternatives",scale,FALSE,
O_030,BIG5,Openness,"Я ценю новизну","Жаңалықты бағалаймын","I value novelty",scale,FALSE,
O_031,BIG5,Openness,"Мне интересно обсуждать гипотезы","Гипотезаларды талқылау маған қызық","I like discussing hypotheses",scale,FALSE,
O_032,BIG5,Openness,"Я люблю нестандартное мышление","Стандарттан тыс ойлауды ұнатамын","I like unconventional thinking",scale,FALSE,
O_033,BIG5,Openness,"Мне нравится придумывать необычные решения","Ерекше шешімдер ойлап табуды ұнатамын","I like inventing unusual solutions",scale,FALSE,
