code,module,category,text_ru,text_kz,text_en,type,is_reverse
R1,RIASEC,Realistic,Я люблю чинить электроприборы или технику,Мен электр құрылғыларын немесе техниканы жөндегенді ұнатамын,I like repairing electrical appliances or equipment,scale,FALSE
R2,RIASEC,Realistic,Мне нравится работать с инструментами и оборудованием,Маған құралдармен және жабдықтармен жұмыс істеген ұнайды,I like working with tools and equipment,scale,FALSE
R3,RIASEC,Realistic,Я люблю собирать мебель или строить что-то своими руками,Мен жиһаз құрастырғанды немесе өз қолыммен бірдеңе тұрғызғанды ұнатамын,I like assembling furniture or building things with my hands,scale,FALSE
R4,RIASEC,Realistic,Мне нравится заниматься выращиванием растений или уходом за животными,Маған өсімдіктерді өсіру немесе жануарларға күтім жасау ұнайды,I like growing plants or taking care of animals,scale,FALSE
R5,RIASEC,Realistic,"Я предпочитаю работать на открытом воздухе, а не в офисе","Мен кеңседе емес, ашық аспан астында жұмыс істегенді жөн көремін",I prefer working outdoors rather than in an office,scale,FALSE
I1,RIASEC,Investigative,Мне нравится изучать теорию происхождения Вселенной,Маған Әлемнің пайда болу теориясын зерттеген ұнайды,I like studying the theory of the origin of the Universe,scale,FALSE
I2,RIASEC,Investigative,Я люблю решать сложные математические или логические задачи,Мен күрделі математикалық немесе логикалық есептерді шешкенді ұнатамын,I like solving complex mathematical or logical problems,scale,FALSE
I3,RIASEC,Investigative,Мне нравится проводить научные эксперименты или исследования,Маған ғылыми эксперименттер немесе зерттеулер жүргізген ұнайды,I like conducting scientific experiments or research,scale,FALSE
I4,RIASEC,Investigative,"Я люблю разбираться в том, как устроены сложные системы",Мен күрделі жүйелердің қалай жұмыс істейтінін түсінгенді ұнатамын,I like understanding how complex systems work,scale,FALSE
I5,RIASEC,Investigative,Мне нравится анализировать данные и искать в них закономерности,Маған деректерді талдау және олардан заңдылықтарды іздеу ұнайды,I like analyzing data and looking for patterns,scale,FALSE
A1,RIASEC,Artistic,"Я люблю создавать эскизы, рисовать или писать картины","Мен эскиздер жасағанды, сурет салғанды немесе кескіндеме жазғанды ұнатамын","I like sketching, drawing, or painting",scale,FALSE
A2,RIASEC,Artistic,Мне нравится играть на музыкальных инструментах или петь,Маған музыкалық аспаптарда ойнау немесе ән айту ұнайды,I like playing musical instruments or singing,scale,FALSE
A3,RIASEC,Artistic,"Я люблю писать рассказы, стихи или вести свой блог","Мен әңгімелер, өлеңдер жазғанды немесе блог жүргізгенді ұнатамын","I like writing stories, poems, or blogging",scale,FALSE
A4,RIASEC,Artistic,Мне нравится заниматься дизайном интерьеров или одежды,Маған интерьер немесе киім дизайнымен айналысқан ұнайды,I like designing interiors or clothing,scale,FALSE
A5,RIASEC,Artistic,"Я предпочитаю творческие задачи, где нет строгих правил",Мен қатаң ережелері жоқ шығармашылық тапсырмаларды жөн көремін,I prefer creative tasks where there are no strict rules,scale,FALSE
S1,RIASEC,Social,Мне нравится помогать людям решать их личные проблемы,Маған адамдарға жеке мәселелерін шешуге көмектескен ұнайды,I like helping people solve their personal problems,scale,FALSE
S2,RIASEC,Social,Я люблю обучать других людей новым навыкам,Мен басқа адамдарды жаңа дағдыларға үйреткенді ұнатамын,I like teaching other people new skills,scale,FALSE
S3,RIASEC,Social,Мне нравится работать в команде для достижения общей цели,Маған ортақ мақсатқа жету үшін командада жұмыс істеген ұнайды,I like working in a team to achieve a common goal,scale,FALSE
S4,RIASEC,Social,Я люблю волонтерскую деятельность и помощь нуждающимся,Мен волонтерлік қызметті және мұқтаж жандарға көмектесуді ұнатамын,I like volunteering and helping those in need,scale,FALSE
S5,RIASEC,Social,Мне легко находить общий язык с незнакомыми людьми,Маған бейтаныс адамдармен оңай тіл табысу ұнайды,I find it easy to get along with strangers,scale,FALSE
E1,RIASEC,Enterprising,Я люблю убеждать людей делать что-то по-моему,Мен адамдарды өз айтқаныма көндіруді ұнатамын,I like persuading people to do things my way,scale,FALSE
E2,RIASEC,Enterprising,Мне нравится руководить проектами или группами людей,Маған жобаларды немесе адамдар тобын басқару ұнайды,I like managing projects or groups of people,scale,FALSE
E3,RIASEC,Enterprising,Я люблю вести переговоры и заключать сделки,Мен келіссөздер жүргізгенді және мәмілелер жасасқанды ұнатамын,I like negotiating and making deals,scale,FALSE
E4,RIASEC,Enterprising,Мне нравится ставить амбициозные цели и достигать их,Маған өршіл мақсаттар қою және оларға жету ұнайды,I like setting ambitious goals and achieving them,scale,FALSE
E5,RIASEC,Enterprising,Я готов брать на себя риск ради успеха в бизнесе,Мен бизнестегі табыс үшін тәуекелге баруға дайынмын,I am willing to take risks for business success,scale,FALSE
C1,RIASEC,Conventional,Мне нравится вести четкий учет расходов и доходов,Маған кірістер мен шығыстардың нақты есебін жүргізген ұнайды,I like keeping accurate records of expenses and income,scale,FALSE
C2,RIASEC,Conventional,"Я люблю, когда у каждой вещи есть свое строго определенное место",Маған әр заттың өзіндік қатаң белгіленген орны болғаны ұнайды,I like it when every thing has its own strictly defined place,scale,FALSE
C3,RIASEC,Conventional,"Мне нравится работать с документами, таблицами и отчетами","Маған құжаттармен, кестелермен және есептермен жұмыс істеген ұнайды","I like working with documents, spreadsheets, and reports",scale,FALSE
C4,RIASEC,Conventional,Я предпочитаю следовать четким инструкциям и планам,Мен нақты нұсқаулар мен жоспарларды орындағанды жөн көремін,I prefer following clear instructions and plans,scale,FALSE
C5,RIASEC,Conventional,Мне нравится проверять детали на предмет ошибок и неточностей,Маған егжей-тегжейлерді қателер мен дәлсіздіктерге тексеру ұнайды,I like checking details for errors and inaccuracies,scale,FALSE
