code,module,category,text_ru,text_kz,text_en,type,is_reverse,options
COG_A_01,COGNITIVE,attention,"Сравните символы: ▲ и ▲","Символдарды салыстырыңыз: ▲ және ▲","Compare symbols: ▲ and ▲",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_02,COGNITIVE,attention,"Сравните символы: ■ и ■","Символдарды салыстырыңыз: ■ және ■","Compare symbols: ■ and ■",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_03,COGNITIVE,attention,"Сравните символы: ● и ○","Символдарды салыстырыңыз: ● және ○","Compare symbols: ● and ○",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_04,COGNITIVE,attention,"Сравните символы: ◆ и ◆","Символдарды салыстырыңыз: ◆ және ◆","Compare symbols: ◆ and ◆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_05,COGNITIVE,attention,"Сравните символы: ★ и ★","Символдарды салыстырыңыз: ★ және ★","Compare symbols: ★ and ★",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_06,COGNITIVE,attention,"Сравните символы: ▲ и ▼","Символдарды салыстырыңыз: ▲ және ▼","Compare symbols: ▲ and ▼",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_07,COGNITIVE,attention,"Сравните символы: ■ и □","Символдарды салыстырыңыз: ■ және □","Compare symbols: ■ and □",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_08,COGNITIVE,attention,"Сравните символы: ● и ●","Символдарды салыстырыңыз: ● және ●","Compare symbols: ● and ●",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_09,COGNITIVE,attention,"Сравните символы: ◆ и ◇","Символдарды салыстырыңыз: ◆ және ◇","Compare symbols: ◆ and ◇",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_10,COGNITIVE,attention,"Сравните символы: ★ и ☆","Символдарды салыстырыңыз: ★ және ☆","Compare symbols: ★ and ☆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_11,COGNITIVE,attention,"Сравните символы: ▲ и ▲","Символдарды салыстырыңыз: ▲ және ▲","Compare symbols: ▲ and ▲",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_12,COGNITIVE,attention,"Сравните символы: ■ и ■","Символдарды салыстырыңыз: ■ және ■","Compare symbols: ■ and ■",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_13,COGNITIVE,attention,"Сравните символы: ● и ○","Символдарды салыстырыңыз: ● және ○","Compare symbols: ● and ○",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_14,COGNITIVE,attention,"Сравните символы: ◆ и ◆","Символдарды салыстырыңыз: ◆ және ◆","Compare symbols: ◆ and ◆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_15,COGNITIVE,attention,"Сравните символы: ★ и ★","Символдарды салыстырыңыз: ★ және ★","Compare symbols: ★ and ★",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_16,COGNITIVE,attention,"Сравните символы: ▲ и ▼","Символдарды салыстырыңыз: ▲ және ▼","Compare symbols: ▲ and ▼",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_17,COGNITIVE,attention,"Сравните символы: ■ и □","Символдарды салыстырыңыз: ■ және □","Compare symbols: ■ and □",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_18,COGNITIVE,attention,"Сравните символы: ● и ●","Символдарды салыстырыңыз: ● және ●","Compare symbols: ● and ●",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_19,COGNITIVE,attention,"Сравните символы: ◆ и ◇","Символдарды салыстырыңыз: ◆ және ◇","Compare symbols: ◆ and ◇",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_20,COGNITIVE,attention,"Сравните символы: ★ и ☆","Символдарды салыстырыңыз: ★ және ☆","Compare symbols: ★ and ☆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_21,COGNITIVE,attention,"Сравните символы: ▲ и ▲","Символдарды салыстырыңыз: ▲ және ▲","Compare symbols: ▲ and ▲",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_22,COGNITIVE,attention,"Сравните символы: ■ и ■","Символдарды салыстырыңыз: ■ және ■","Compare symbols: ■ and ■",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_23,COGNITIVE,attention,"Сравните символы: ● и ○","Символдарды салыстырыңыз: ● және ○","Compare symbols: ● and ○",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_24,COGNITIVE,attention,"Сравните символы: ◆ и ◆","Символдарды салыстырыңыз: ◆ және ◆","Compare symbols: ◆ and ◆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_25,COGNITIVE,attention,"Сравните символы: ★ и ★","Символдарды салыстырыңыз: ★ және ★","Compare symbols: ★ and ★",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_26,COGNITIVE,attention,"Сравните символы: ▲ и ▼","Символдарды салыстырыңыз: ▲ және ▼","Compare symbols: ▲ and ▼",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_27,COGNITIVE,attention,"Сравните символы: ■ и □","Символдарды салыстырыңыз: ■ және □","Compare symbols: ■ and □",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_28,COGNITIVE,attention,"Сравните символы: ● и ●","Символдарды салыстырыңыз: ● және ●","Compare symbols: ● and ●",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 1}, {""text"": ""Не совпадают (Different)"", ""value"": 0}]"
COG_A_29,COGNITIVE,attention,"Сравните символы: ◆ и ◇","Символдарды салыстырыңыз: ◆ және ◇","Compare symbols: ◆ and ◇",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_A_30,COGNITIVE,attention,"Сравните символы: ★ и ☆","Символдарды салыстырыңыз: ★ және ☆","Compare symbols: ★ and ☆",choice,FALSE,"[{""text"": ""Совпадают (Matches)"", ""value"": 0}, {""text"": ""Не совпадают (Different)"", ""value"": 1}]"
COG_B_31,COGNITIVE,attention,"Есть ли ★ среди: ▲ ■ ★ ● ?","▲ ■ ★ ● ішінде ★ бар ма?","Is ★ present in: ▲ ■ ★ ● ?",choice,FALSE,"[{""text"": ""Да (Yes)"", ""value"": 1}, {""text"": ""Нет (No)"", ""value"": 0}]"
COG_B_32,COGNITIVE,attention,"Есть ли ★ среди: ● ■ ▲ ◆ ?","● ■ ▲ ◆ ішінде ★ бар ма?","Is ★ present in: ● ■ ▲ ◆ ?",choice,FALSE,"[{""text"": ""Да (Yes)"", ""value"": 0}, {""text"": ""Нет (No)"", ""value"": 1}]"
COG_B_33,COGNITIVE,attention,"Есть ли ★ среди: ★ ◆ ● ■ ?","★ ◆ ● ■ ішінде ★ бар ма?","Is ★ present in: ★ ◆ ● ■ ?",choice,FALSE,"[{""text"": ""Да (Yes)"", ""value"": 1}, {""text"": ""Нет (No)"", ""value"": 0}]"
COG_B_34,COGNITIVE,attention,"Есть ли ★ среди: ▲ ▲ ■ ● ?","▲ ▲ ■ ● ішінде ★ бар ма?","Is ★ present in: ▲ ▲ ■ ● ?",choice,FALSE,"[{""text"": ""Да (Yes)"", ""value"": 0}, {""text"": ""Нет (No)"", ""value"": 1}]"
COG_B_35,COGNITIVE,attention,"Есть ли ★ среди: ◆ ★ ■ ● ?","◆ ★ ■ ● ішінде ★ бар ма?","Is ★ present in: ◆ ★ ■ ● ?",choice,FALSE,"[{""text"": ""Да (Yes)"", ""value"": 1}, {""text"": ""Нет (No)"", ""value"": 0}]"
