code,module,category,text_ru,text_kz,text_en,type,is_reverse,options
R_001,RIASEC,Realistic,Мне нравится работать руками,Маған қолмен жұмыс істеген ұнайды,I like working with my hands,scale,FALSE,
R_002,RIASEC,Realistic,Я предпочитаю практическую деятельность,Мен практикалық іс-әрекетті жөн көремін,I prefer practical activities,scale,FALSE,
R_003,RIASEC,Realistic,Мне важно видеть конкретный результат,Маған нақты нәтижені көру маңызды,It is important for me to see a concrete result,scale,FALSE,
R_004,RIASEC,Realistic,Я люблю разбираться в устройствах,"Маған құрылғыларды бөлшектеп, түсіну ұнайды",I like figuring out how devices work,scale,FALSE,
R_005,RIASEC,Realistic,Мне комфортно работать с техникой,Маған техникамен жұмыс істеу ыңғайлы,I am comfortable working with technology,scale,FALSE,
R_006,RIASEC,Realistic,Я предпочитаю реальные объекты абстрактным идеям,Мен абстрактілі идеялардан гөрі нақты объектілерді қалаймын,I prefer real objects to abstract ideas,scale,FALSE,
R_007,RIASEC,Realistic,Мне нравится чинить или собирать вещи,Маған заттарды жөндеу немесе жинау ұнайды,I like fixing or assembling things,scale,FALSE,
R_008,RIASEC,Realistic,Я получаю удовольствие от физической работы,Мен физикалық жұмыстан ләззат аламын,I enjoy physical work,scale,FALSE,
R_009,RIASEC,Realistic,Я лучше учусь через практику,Мен практика арқылы жақсырақ үйренемін,I learn better through practice,scale,FALSE,
R_010,RIASEC,Realistic,"Мне важно, чтобы задача была понятной и конкретной",Маған тапсырманың түсінікті және нақты болуы маңызды,It is important to me that the task is clear and concrete,scale,FALSE,
R_011,RIASEC,Realistic,Я предпочитаю инструкции экспериментам,Мен эксперименттерден гөрі нұсқаулықтарды жөн көремін,I prefer instructions to experiments,scale,FALSE,
R_012,RIASEC,Realistic,Мне нравится работать с инструментами,Маған құрал-саймандармен жұмыс істеген ұнайды,I like working with tools,scale,FALSE,
R_013,RIASEC,Realistic,Я чувствую уверенность при работе с оборудованием,Жабдықпен жұмыс істегенде мен өзімді сенімді сезінемін,I feel confident working with equipment,scale,FALSE,
R_014,RIASEC,Realistic,Мне комфортно выполнять четкие задания,Маған нақты тапсырмаларды орындау ыңғайлы,I am comfortable performing clear tasks,scale,FALSE,
R_015,RIASEC,Realistic,Я предпочитаю действия разговорам,Мен сөзден гөрі істі артық көремін,I prefer action to talk,scale,FALSE,
R_016,RIASEC,Realistic,Я люблю задачи с понятным алгоритмом,Маған алгоритмі түсінікті тапсырмалар ұнайды,I like tasks with a clear algorithm,scale,FALSE,
R_017,RIASEC,Realistic,Мне нравится работа на результат,Маған нәтижеге бағытталған жұмыс ұнайды,I like working for results,scale,FALSE,
R_018,RIASEC,Realistic,Я спокойно отношусь к монотонной работе,Мен бір сарынды жұмысқа сабырлы қараймын,I am okay with monotonous work,scale,FALSE,
R_019,RIASEC,Realistic,"Мне важно, чтобы работа была полезной на практике",Жұмыстың іс жүзінде пайдалы болғаны мен үшін маңызды,It is important to me that the work is practically useful,scale,FALSE,
R_020,RIASEC,Realistic,Я предпочитаю реальный мир теоретическому,Мен теориялық әлемнен гөрі шынайы әлемді қалаймын,I prefer the real world to the theoretical one,scale,FALSE,
R_021,RIASEC,Realistic,Мне нравится наводить порядок в вещах,Маған заттарды ретке келтіру ұнайды,I like tidying things up,scale,FALSE,
R_022,RIASEC,Realistic,"Я люблю собирать, монтировать, устанавливать","Маған құрастыру, монтаждау, орнату ұнайды","I like assembling, mounting, installing",scale,FALSE,
R_023,RIASEC,Realistic,"Мне интересно, как устроены механизмы",Маған механизмдердің қалай құрылғаны қызық,I am interested in how mechanisms work,scale,FALSE,
R_024,RIASEC,Realistic,Я получаю удовольствие от ручного труда,Мен қол еңбегінен ләззат аламын,I enjoy manual labor,scale,FALSE,
R_025,RIASEC,Realistic,Я предпочитаю конкретные инструкции,Мен нақты нұсқауларды жөн көремін,I prefer specific instructions,scale,FALSE,
R_026,RIASEC,Realistic,Я люблю работать с материалами,Маған материалдармен жұмыс істеу ұнайды,I like working with materials,scale,FALSE,
R_027,RIASEC,Realistic,Мне комфортно выполнять технические задачи,Маған техникалық тапсырмаларды орындау ыңғайлы,I am comfortable performing technical tasks,scale,FALSE,
R_028,RIASEC,Realistic,Я предпочитаю стабильные условия,Мен тұрақты жағдайларды жөн көремін,I prefer stable conditions,scale,FALSE,
R_029,RIASEC,Realistic,Мне нравится работать по плану,Маған жоспар бойынша жұмыс істеу ұнайды,I like working according to a plan,scale,FALSE,
R_030,RIASEC,Realistic,Я люблю практические профессии,Маған практикалық мамандықтар ұнайды,I like practical professions,scale,FALSE,
R_031,RIASEC,Realistic,Мне важно ощущать физический результат,Маған физикалық нәтижені сезіну маңызды,It is important for me to feel a physical result,scale,FALSE,
